name	taxonomy_id	taxonomy_lvl	SRR8146968_num	SRR8146968_frac	SRR8146978_num	SRR8146978_frac	SRR8146982_num	SRR8146982_frac	SRR8146938_num	SRR8146938_frac	SRR8146935_num	SRR8146935_frac	SRR8146936_num	SRR8146936_frac
Maribellus comscasis	2681766	S	62	0.00000	18	0.00000	37	0.00000	0	0.00000	50	0.00000	55	0.00000
Gaoshiqia hydrogeniformans	3290090	S	19	0.00000	0	0.00000	102	0.00001	12	0.00000	0	0.00000	79	0.00000
Marinifilum fragile	570161	S	126	0.00001	0	0.00000	230	0.00002	13	0.00000	76	0.00000	28	0.00000
Marinifilum sp.	2033137	S	30	0.00000	0	0.00000	12	0.00000	0	0.00000	0	0.00000	76	0.00000
Xiashengella succiniciproducens	2949635	S	186	0.00001	0	0.00000	307	0.00002	15	0.00000	0	0.00000	0	0.00000
Hymenobacter sp. YIM 151500-1	2987689	S	315	0.00002	0	0.00000	137	0.00001	11	0.00000	0	0.00000	71	0.00000
Hymenobacter sp. NBH84	2596915	S	298	0.00002	0	0.00000	0	0.00000	0	0.00000	17	0.00000	0	0.00000
Hymenobacter sp. PAMC 26628	1484118	S	137	0.00001	0	0.00000	49	0.00000	50	0.00000	25	0.00000	112	0.00001
Hymenobacter sp. BRD67	2675877	S	165	0.00001	0	0.00000	84	0.00001	0	0.00000	0	0.00000	1416	0.00007
Hymenobacter sp. DG25A	1385663	S	128	0.00001	0	0.00000	68	0.00000	362	0.00001	0	0.00000	69	0.00000
Hymenobacter sp. BRD128	2675878	S	60	0.00000	0	0.00000	0	0.00000	338	0.00001	25	0.00000	22	0.00000
Hymenobacter sp. GOD-10R	3093922	S	21	0.00000	0	0.00000	12	0.00000	11	0.00000	0	0.00000	0	0.00000
Hymenobacter sp. BT18	2835648	S	24	0.00000	0	0.00000	76	0.00001	0	0.00000	0	0.00000	0	0.00000
Hymenobacter sp. 102	3403152	S	20	0.00000	0	0.00000	15	0.00000	0	0.00000	0	0.00000	54	0.00000
Hymenobacter sp. DG25B	1385664	S	21	0.00000	0	0.00000	20	0.00000	32	0.00000	25	0.00000	0	0.00000
Hymenobacter sp. 5317J-9	2932250	S	14	0.00000	0	0.00000	80	0.00001	0	0.00000	0	0.00000	78	0.00000
Hymenobacter radiodurans	2496028	S	1707	0.00010	0	0.00000	1304	0.00009	0	0.00000	495	0.00002	260	0.00001
Hymenobacter nivis	1850093	S	171	0.00001	47	0.00000	96	0.00001	251	0.00001	0	0.00000	19	0.00000
Hymenobacter tibetensis	497967	S	86	0.00001	0	0.00000	43	0.00000	74	0.00000	68	0.00000	14	0.00000
Hymenobacter cellulosivorans	2932249	S	81	0.00000	0	0.00000	25	0.00000	21	0.00000	0	0.00000	42	0.00000
Hymenobacter baengnokdamensis	2615203	S	106	0.00001	0	0.00000	21	0.00000	0	0.00000	57	0.00000	0	0.00000
Hymenobacter busanensis	2607656	S	57	0.00000	26	0.00000	147	0.00001	0	0.00000	0	0.00000	76	0.00000
Hymenobacter volaticus	2932254	S	53	0.00000	43	0.00000	18	0.00000	0	0.00000	50	0.00000	215	0.00001
Hymenobacter oligotrophus	2319843	S	43	0.00000	0	0.00000	70	0.00000	0	0.00000	330	0.00001	11	0.00000
Hymenobacter aerilatus	2932251	S	22	0.00000	0	0.00000	50	0.00000	0	0.00000	0	0.00000	0	0.00000
Hymenobacter qilianensis	1385715	S	15	0.00000	0	0.00000	0	0.00000	0	0.00000	720	0.00003	218	0.00001
Hymenobacter sedentarius	1411621	S	14	0.00000	0	0.00000	51	0.00000	0	0.00000	62	0.00000	71	0.00000
Hymenobacter swuensis	1446467	S	14	0.00000	0	0.00000	65	0.00000	0	0.00000	58	0.00000	0	0.00000
Pontibacter actiniarum	323450	S	352	0.00002	0	0.00000	149	0.00001	12	0.00000	268	0.00001	15	0.00000
Pontibacter russatus	2694929	S	46	0.00000	0	0.00000	33	0.00000	392	0.00001	36	0.00000	81	0.00000
Pontibacter kalidii	2592049	S	31	0.00000	0	0.00000	314	0.00002	48	0.00000	38	0.00000	28	0.00000
Pontibacter akesuensis	388950	S	27	0.00000	0	0.00000	67	0.00000	21	0.00000	0	0.00000	457	0.00002
Pontibacter sp. G13	3074898	S	20	0.00000	0	0.00000	0	0.00000	0	0.00000	505	0.00002	123	0.00001
Adhaeribacter radiodurans	2745197	S	86	0.00001	0	0.00000	26	0.00000	109	0.00000	34	0.00000	0	0.00000
Dyadobacter pollutisoli	2910158	S	124	0.00001	0	0.00000	295	0.00002	0	0.00000	0	0.00000	0	0.00000
Dyadobacter endophyticus	1749036	S	21	0.00000	0	0.00000	45	0.00000	153	0.00001	133	0.00001	31	0.00000
Dyadobacter sp. 32	538966	S	16	0.00000	29	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Dyadobacter chenhuakuii	2909339	S	23	0.00000	0	0.00000	41	0.00000	0	0.00000	0	0.00000	38	0.00000
Runella sp. SP2	2268026	S	26	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Runella rosea	2259595	S	122	0.00001	0	0.00000	56	0.00000	48	0.00000	0	0.00000	12	0.00000
Tellurirhabdus rosea	2674997	S	154	0.00001	0	0.00000	178	0.00001	559	0.00002	0	0.00000	17	0.00000
Larkinella sp.	2034517	S	38	0.00000	27	0.00000	32	0.00000	154	0.00001	177	0.00001	55	0.00000
Spirosoma sp. KCTC 42546	2520506	S	43	0.00000	0	0.00000	0	0.00000	0	0.00000	15	0.00000	58	0.00000
